Country,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ecuador,Ecuador,98.1,97.86,97.62,97.38,97.14,96.9,96.48,96.06,95.64,95.22,94.8,94.1,93.4,92.7,92.0,91.3,90.36,89.42,88.48,87.54,86.6,85.34,84.08,82.82,81.56,80.3,78.92,77.54,76.16,74.78,73.4,72.0,70.6,69.2,67.8,66.4,65.12,63.84,62.56,61.28,60.0,58.8,57.6,56.4,55.2,54.0,52.9,51.8,50.7,49.6,48.5,47.4,46.3,45.2,44.1,43.0
Egypt,Egypt,99.3,99.0,98.7,98.4,98.1,97.8,97.06,96.32,95.58,94.84,94.1,92.42,90.74,89.06,87.38,85.7,84.62,83.54,82.46,81.38,80.3,78.98,77.66,76.34,75.02,73.7,72.16,70.62,69.08,67.54,66.0,64.32,62.64,60.96,59.28,57.6,55.86,54.12,52.38,50.64,48.9,47.2,45.5,43.8,42.1,40.4,38.9,37.4,35.9,34.4,32.9,31.34,29.78,28.22,26.66,25.1
El Salvador,El Salvador,99.6,99.52,99.44,99.36,99.28,99.2,99.06,98.92,98.78,98.64,98.5,98.28,98.06,97.84,97.62,97.4,97.02,96.64,96.26,95.88,95.5,95.0,94.5,94.0,93.5,93.0,92.42,91.84,91.26,90.68,90.1,89.36,88.62,87.88,87.14,86.4,85.54,84.68,83.82,82.96,82.1,81.26,80.42,79.58,78.74,77.9,76.1,74.3,72.5,70.7,68.9,67.12,65.34,63.56,61.78,60.0
Equatorial Guinea,Equatorial Guinea,99.9,99.88,99.86,99.84,99.82,99.8,99.7,99.6,99.5,99.4,99.3,99.22,99.14,99.06,98.98,98.9,98.8,98.7,98.6,98.5,98.4,98.54,98.68,98.82,98.96,99.1,98.98,98.86,98.74,98.62,98.5,98.36,98.22,98.08,97.94,97.8,97.74,97.68,97.62,97.56,97.5,97.1,96.7,96.3,95.9,95.5,95.08,94.66,94.24,93.82,93.4,93.0,92.6,92.2,91.8,91.4
Eritrea,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,32.56,48.84,65.12,81.4
Estonia,Estonia,54.6,53.8,53.0,52.2,51.4,50.6,50.02,49.44,48.86,48.28,47.7,47.26,46.82,46.38,45.94,45.5,45.22,44.94,44.66,44.38,44.1,43.9,43.7,43.5,43.3,43.1,42.84,42.58,42.32,42.06,41.8,41.36,40.92,40.48,40.04,39.6,39.12,38.64,38.16,37.68,37.2,37.26,37.32,37.38,37.44,37.5,38.64,39.78,40.92,42.06,43.2,40.66,38.12,35.58,33.04,30.5
Ethiopia,Ethiopia,100.0,100.02,100.04,100.06,100.08,100.1,100.06,100.02,99.98,99.94,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.74,99.68,99.62,99.56,99.5,99.38,99.26,99.14,99.02,98.9,98.66,98.42,98.18,97.94,97.7,97.5,97.3,97.1,96.9,96.7,95.88,95.06,94.24,93.42,92.6,91.8,91.0,90.2,89.4,88.6
Fiji,Fiji,92.8,92.38,91.96,91.54,91.12,90.7,90.06,89.42,88.78,88.14,87.5,86.76,86.02,85.28,84.54,83.8,83.08,82.36,81.64,80.92,80.2,78.96,77.72,76.48,75.24,74.0,72.24,70.48,68.72,66.96,65.2,65.12,65.04,64.96,64.88,64.8,64.3,63.8,63.3,62.8,62.3,61.08,59.86,58.64,57.42,56.2,54.14,52.08,50.02,47.96,45.9,43.86,41.82,39.78,37.74,35.7
Finland,Finland,77.6,76.14,74.68,73.22,71.76,70.3,68.66,67.02,65.38,63.74,62.1,60.58,59.06,57.54,56.02,54.5,53.42,52.34,51.26,50.18,49.1,48.68,48.26,47.84,47.42,47.0,46.9,46.8,46.7,46.6,46.5,46.46,46.42,46.38,46.34,46.3,46.3,46.3,46.3,46.3,46.3,46.28,46.26,46.24,46.22,46.2,46.0,45.8,45.6,45.4,45.2,42.32,39.44,36.56,33.68,30.8
France,France,79.4,78.24,77.08,75.92,74.76,73.6,72.32,71.04,69.76,68.48,67.2,65.66,64.12,62.58,61.04,59.5,57.68,55.86,54.04,52.22,50.4,48.82,47.24,45.66,44.08,42.5,41.44,40.38,39.32,38.26,37.2,36.52,35.84,35.16,34.48,33.8,33.16,32.52,31.88,31.24,30.6,29.96,29.32,28.68,28.04,27.4,26.84,26.28,25.72,25.16,24.6,23.22,21.84,20.46,19.08,17.7
French Guiana,French Guiana,95.7,95.12,94.54,93.96,93.38,92.8,92.06,91.32,90.58,89.84,89.1,88.24,87.38,86.52,85.66,84.8,83.88,82.96,82.04,81.12,80.2,79.28,78.36,77.44,76.52,75.6,74.6,73.6,72.6,71.6,70.6,69.74,68.88,68.02,67.16,66.3,65.62,64.94,64.26,63.58,62.9,62.48,62.06,61.64,61.22,60.8,60.78,60.76,60.74,60.72,60.7,58.78,56.86,54.94,53.02,51.1
French Polynesia,French Polynesia,89.1,87.76,86.42,85.08,83.74,82.4,80.96,79.52,78.08,76.64,75.2,73.72,72.24,70.76,69.28,67.8,65.9,64.0,62.1,60.2,58.3,56.2,54.1,52.0,49.9,47.8,45.9,44.0,42.1,40.2,38.3,36.76,35.22,33.68,32.14,30.6,29.6,28.6,27.6,26.6,25.6,24.98,24.36,23.74,23.12,22.5,21.7,20.9,20.1,19.3,18.5,17.74,16.98,16.22,15.46,14.7
Gabon,Gabon,99.9,99.84,99.78,99.72,99.66,99.6,99.26,98.92,98.58,98.24,97.9,97.7,97.5,97.3,97.1,96.9,96.3,95.7,95.1,94.5,93.9,93.22,92.54,91.86,91.18,90.5,90.46,90.42,90.38,90.34,90.3,90.68,91.06,91.44,91.82,92.2,92.32,92.44,92.56,92.68,92.8,92.64,92.48,92.32,92.16,92.0,91.86,91.72,91.58,91.44,91.3,89.12,86.94,84.76,82.58,80.4
Gambia,Gambia,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.8,99.8,99.8,99.8,99.8,99.72,99.64,99.56,99.48,99.4,99.28,99.16,99.04,98.92,98.8,98.5,98.2,97.9,97.6,97.3,96.62,95.94,95.26,94.58,93.9,92.6,91.3,90.0,88.7,87.4,85.5,83.6,81.7,79.8,77.9
Georgia,Georgia,36.8,34.96,33.12,31.28,29.44,27.6,26.3,25.0,23.7,22.4,21.1,20.32,19.54,18.76,17.98,17.2,16.68,16.16,15.64,15.12,14.6,14.18,13.76,13.34,12.92,12.5,12.24,11.98,11.72,11.46,11.2,10.92,10.64,10.36,10.08,9.8,9.62,9.44,9.26,9.08,8.9,8.68,8.46,8.24,8.02,7.8,7.64,7.48,7.32,7.16,7.0,7.24,7.48,7.72,7.96,8.2
Germany,Germany,55.3,54.2,53.1,52.0,50.9,49.8,49.04,48.28,47.52,46.76,46.0,45.12,44.24,43.36,42.48,41.6,40.64,39.68,38.72,37.76,36.8,35.98,35.16,34.34,33.52,32.7,32.04,31.38,30.72,30.06,29.4,28.96,28.52,28.08,27.64,27.2,26.74,26.28,25.82,25.36,24.9,24.54,24.18,23.82,23.46,23.1,22.76,22.42,22.08,21.74,21.4,21.46,21.52,21.58,21.64,21.7
Ghana,Ghana,99.7,99.58,99.46,99.34,99.22,99.1,98.94,98.78,98.62,98.46,98.3,97.98,97.66,97.34,97.02,96.7,96.38,96.06,95.74,95.42,95.1,94.74,94.38,94.02,93.66,93.3,92.96,92.62,92.28,91.94,91.6,91.16,90.72,90.28,89.84,89.4,88.4,87.4,86.4,85.4,84.4,83.74,83.08,82.42,81.76,81.1,80.4,79.7,79.0,78.3,77.6,76.72,75.84,74.96,74.08,73.2
Greece,Greece,90.1,88.86,87.62,86.38,85.14,83.9,82.36,80.82,79.28,77.74,76.2,74.48,72.76,71.04,69.32,67.6,65.76,63.92,62.08,60.24,58.4,56.24,54.08,51.92,49.76,47.6,45.84,44.08,42.32,40.56,38.8,37.72,36.64,35.56,34.48,33.4,32.8,32.2,31.6,31.0,30.4,29.84,29.28,28.72,28.16,27.6,27.24,26.88,26.52,26.16,25.8,24.3,22.8,21.3,19.8,18.3
Grenada,Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.6,12.9,17.2,21.5
Guadeloupe,Guadeloupe,96.5,95.8,95.1,94.4,93.7,93.0,91.9,90.8,89.7,88.6,87.5,86.08,84.66,83.24,81.82,80.4,78.82,77.24,75.66,74.08,72.5,70.66,68.82,66.98,65.14,63.3,61.44,59.58,57.72,55.86,54.0,52.4,50.8,49.2,47.6,46.0,44.52,43.04,41.56,40.08,38.6,37.2,35.8,34.4,33.0,31.6,30.4,29.2,28.0,26.8,25.6,24.44,23.28,22.12,20.96,19.8
Guam,Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,14.28,21.42,28.56,35.7
Guatemala,Guatemala,99.3,99.24,99.18,99.12,99.06,99.0,98.9,98.8,98.7,98.6,98.5,98.34,98.18,98.02,97.86,97.7,97.46,97.22,96.98,96.74,96.5,96.18,95.86,95.54,95.22,94.9,94.44,93.98,93.52,93.06,92.6,92.12,91.64,91.16,90.68,90.2,89.8,89.4,89.0,88.6,88.2,87.08,85.96,84.84,83.72,82.6,81.44,80.28,79.12,77.96,76.8,75.66,74.52,73.38,72.24,71.1
Guinea,Guinea,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.84,99.76,99.68,99.6,99.52,99.44,99.36,99.28,99.2,99.1,99.0,98.9,98.8,98.7,98.66,98.62,98.58,98.54,98.5,98.52,98.54,98.56,98.58,98.6,98.6,98.6,98.6,98.6,98.6,98.36,98.12,97.88,97.64,97.4,96.94,96.48,96.02,95.56,95.1,94.1,93.1,92.1,91.1,90.1,89.32,88.54,87.76,86.98,86.2
Guinea-Bissau,Guinea-Bissau,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.82,99.74,99.66,99.58,99.5,99.36,99.22,99.08,98.94,98.8,98.56,98.32,98.08,97.84,97.6,97.24,96.88,96.52,96.16,95.8,95.04,94.28,93.52,92.76,92.0,91.48,90.96,90.44,89.92,89.4
Guyana,Guyana,87.9,87.18,86.46,85.74,85.02,84.3,83.66,83.02,82.38,81.74,81.1,80.42,79.74,79.06,78.38,77.7,76.94,76.18,75.42,74.66,73.9,73.18,72.46,71.74,71.02,70.3,69.54,68.78,68.02,67.26,66.5,65.6,64.7,63.8,62.9,62.0,61.84,61.68,61.52,61.36,61.2,59.46,57.72,55.98,54.24,52.5,50.78,49.06,47.34,45.62,43.9,42.18,40.46,38.74,37.02,35.3
Haiti,Haiti,99.9,99.86,99.82,99.78,99.74,99.7,99.72,99.74,99.76,99.78,99.8,99.74,99.68,99.62,99.56,99.5,99.44,99.38,99.32,99.26,99.2,99.02,98.84,98.66,98.48,98.3,97.96,97.62,97.28,96.94,96.6,95.9,95.2,94.5,93.8,93.1,91.98,90.86,89.74,88.62,87.5,86.52,85.54,84.56,83.58,82.6,80.98,79.36,77.74,76.12,74.5,72.88,71.26,69.64,68.02,66.4
Honduras,Honduras,99.7,99.68,99.66,99.64,99.62,99.6,99.5,99.4,99.3,99.2,99.1,98.98,98.86,98.74,98.62,98.5,98.24,97.98,97.72,97.46,97.2,96.82,96.44,96.06,95.68,95.3,94.82,94.34,93.86,93.38,92.9,92.36,91.82,91.28,90.74,90.2,89.58,88.96,88.34,87.72,87.1,86.38,85.66,84.94,84.22,83.5,82.56,81.62,80.68,79.74,78.8,77.86,76.92,75.98,75.04,74.1
"Hong Kong, China",Hong Kong Special Administrative Region of China,95.2,94.32,93.44,92.56,91.68,90.8,89.36,87.92,86.48,85.04,83.6,81.58,79.56,77.54,75.52,73.5,71.16,68.82,66.48,64.14,61.8,59.96,58.12,56.28,54.44,52.6,51.24,49.88,48.52,47.16,45.8,44.22,42.64,41.06,39.48,37.9,36.28,34.66,33.04,31.42,29.8,28.72,27.64,26.56,25.48,24.4,24.06,23.72,23.38,23.04,22.7,21.42,20.14,18.86,17.58,16.3
Hungary,Hungary,65.7,64.44,63.18,61.92,60.66,59.4,59.38,59.36,59.34,59.32,59.3,58.6,57.9,57.2,56.5,55.8,54.5,53.2,51.9,50.6,49.3,48.06,46.82,45.58,44.34,43.1,42.2,41.3,40.4,39.5,38.6,37.94,37.28,36.62,35.96,35.3,34.82,34.34,33.86,33.38,32.9,32.54,32.18,31.82,31.46,31.1,30.7,30.3,29.9,29.5,29.1,27.28,25.46,23.64,21.82,20.0
Iceland,Iceland,76.4,76.0,75.6,75.2,74.8,74.4,74.04,73.68,73.32,72.96,72.6,72.18,71.76,71.34,70.92,70.5,69.84,69.18,68.52,67.86,67.2,66.42,65.64,64.86,64.08,63.3,62.46,61.62,60.78,59.94,59.1,58.3,57.5,56.7,55.9,55.1,54.58,54.06,53.54,53.02,52.5,51.98,51.46,50.94,50.42,49.9,49.26,48.62,47.98,47.34,46.7,44.16,41.62,39.08,36.54,34.0
India,India,99.9,99.84,99.78,99.72,99.66,99.6,99.5,99.4,99.3,99.2,99.1,98.92,98.74,98.56,98.38,98.2,97.9,97.6,97.3,97.0,96.7,96.32,95.94,95.56,95.18,94.8,94.18,93.56,92.94,92.32,91.7,90.82,89.94,89.06,88.18,87.3,86.06,84.82,83.58,82.34,81.1,79.34,77.58,75.82,74.06,72.3,69.86,67.42,64.98,62.54,60.1,58.88,57.66,56.44,55.22,54.0
Indonesia,Indonesia,99.7,99.62,99.54,99.46,99.38,99.3,99.12,98.94,98.76,98.58,98.4,98.04,97.68,97.32,96.96,96.6,96.08,95.56,95.04,94.52,94.0,93.2,92.4,91.6,90.8,90.0,88.86,87.72,86.58,85.44,84.3,82.94,81.58,80.22,78.86,77.5,75.74,73.98,72.22,70.46,68.7,66.42,64.14,61.86,59.58,57.3,55.66,54.02,52.38,50.74,49.1,47.7,46.3,44.9,43.5,42.1
Iran,Iran (Islamic Republic of),99.8,99.74,99.68,99.62,99.56,99.5,99.34,99.18,99.02,98.86,98.7,98.32,97.94,97.56,97.18,96.8,96.06,95.32,94.58,93.84,93.1,92.02,90.94,89.86,88.78,87.7,86.3,84.9,83.5,82.1,80.7,79.0,77.3,75.6,73.9,72.2,70.72,69.24,67.76,66.28,64.8,63.74,62.68,61.62,60.56,59.5,58.22,56.94,55.66,54.38,53.1,51.02,48.94,46.86,44.78,42.7
Iraq,Iraq,99.8,99.74,99.68,99.62,99.56,99.5,99.34,99.18,99.02,98.86,98.7,98.18,97.66,97.14,96.62,96.1,94.88,93.66,92.44,91.22,90.0,89.26,88.52,87.78,87.04,86.3,85.62,84.94,84.26,83.58,82.9,82.66,82.42,82.18,81.94,81.7,81.82,81.94,82.06,82.18,82.3,81.96,81.62,81.28,80.94,80.6,80.6,80.6,80.6,80.6,80.6,78.94,77.28,75.62,73.96,72.3
Ireland,Ireland,76.2,74.82,73.44,72.06,70.68,69.3,67.48,65.66,63.84,62.02,60.2,57.76,55.32,52.88,50.44,48.0,45.84,43.68,41.52,39.36,37.2,35.86,34.52,33.18,31.84,30.5,29.44,28.38,27.32,26.26,25.2,24.24,23.28,22.32,21.36,20.4,19.6,18.8,18.0,17.2,16.4,15.88,15.36,14.84,14.32,13.8,13.24,12.68,12.12,11.56,11.0,10.76,10.52,10.28,10.04,9.8
Israel,Israel,87.0,85.96,84.92,83.88,82.84,81.8,80.22,78.64,77.06,75.48,73.9,72.36,70.82,69.28,67.74,66.2,64.68,63.16,61.64,60.12,58.6,57.64,56.68,55.72,54.76,53.8,52.46,51.12,49.78,48.44,47.1,45.78,44.46,43.14,41.82,40.5,39.24,37.98,36.72,35.46,34.2,33.04,31.88,30.72,29.56,28.4,27.48,26.56,25.64,24.72,23.8,22.88,21.96,21.04,20.12,19.2
Italy,Italy,89.2,88.0,86.8,85.6,84.4,83.2,81.68,80.16,78.64,77.12,75.6,73.72,71.84,69.96,68.08,66.2,64.32,62.44,60.56,58.68,56.8,55.24,53.68,52.12,50.56,49.0,47.84,46.68,45.52,44.36,43.2,42.54,41.88,41.22,40.56,39.9,39.56,39.22,38.88,38.54,38.2,37.74,37.28,36.82,36.36,35.9,35.26,34.62,33.98,33.34,32.7,30.94,29.18,27.42,25.66,23.9
Jamaica,Jamaica,95.7,95.18,94.66,94.14,93.62,93.1,92.36,91.62,90.88,90.14,89.4,88.4,87.4,86.4,85.4,84.4,83.12,81.84,80.56,79.28,78.0,76.76,75.52,74.28,73.04,71.8,71.16,70.52,69.88,69.24,68.6,67.86,67.12,66.38,65.64,64.9,65.48,66.06,66.64,67.22,67.8,66.28,64.76,63.24,61.72,60.2,58.7,57.2,55.7,54.2,52.7,51.2,49.7,48.2,46.7,45.2
Japan,Japan,43.1,41.3,39.5,37.7,35.9,34.1,31.8,29.5,27.2,24.9,22.6,21.82,21.04,20.26,19.48,18.7,18.28,17.86,17.44,17.02,16.6,16.42,16.24,16.06,15.88,15.7,15.44,15.18,14.92,14.66,14.4,13.98,13.56,13.14,12.72,12.3,11.88,11.46,11.04,10.62,10.2,9.92,9.64,9.36,9.08,8.8,8.86,8.92,8.98,9.04,9.1,8.5,7.9,7.3,6.7,6.1
Jordan,Jordan,93.5,92.26,91.02,89.78,88.54,87.3,85.9,84.5,83.1,81.7,80.3,78.88,77.46,76.04,74.62,73.2,71.8,70.4,69.0,67.6,66.2,65.12,64.04,62.96,61.88,60.8,60.04,59.28,58.52,57.76,57.0,56.22,55.44,54.66,53.88,53.1,52.88,52.66,52.44,52.22,52.0,51.2,50.4,49.6,48.8,48.0,47.26,46.52,45.78,45.04,44.3,43.68,43.06,42.44,41.82,41.2
Kazakhstan,Kazakhstan,52.7,50.7,48.7,46.7,44.7,42.7,40.14,37.58,35.02,32.46,29.9,28.74,27.58,26.42,25.26,24.1,23.36,22.62,21.88,21.14,20.4,19.76,19.12,18.48,17.84,17.2,16.66,16.12,15.58,15.04,14.5,13.98,13.46,12.94,12.42,11.9,11.42,10.94,10.46,9.98,9.5,9.12,8.74,8.36,7.98,7.6,7.4,7.2,7.0,6.8,6.6,6.22,5.84,5.46,5.08,4.7
Kenya,Kenya,99.9,99.86,99.82,99.78,99.74,99.7,99.62,99.54,99.46,99.38,99.3,99.12,98.94,98.76,98.58,98.4,98.16,97.92,97.68,97.44,97.2,96.82,96.44,96.06,95.68,95.3,94.66,94.02,93.38,92.74,92.1,91.0,89.9,88.8,87.7,86.6,85.24,83.88,82.52,81.16,79.8,79.02,78.24,77.46,76.68,75.9,76.1,76.3,76.5,76.7,76.9,74.74,72.58,70.42,68.26,66.1
Kiribati,Kiribati,99.5,99.36,99.22,99.08,98.94,98.8,98.46,98.12,97.78,97.44,97.1,96.54,95.98,95.42,94.86,94.3,93.4,92.5,91.6,90.7,89.8,88.8,87.8,86.8,85.8,84.8,83.44,82.08,80.72,79.36,78.0,76.42,74.84,73.26,71.68,70.1,68.38,66.66,64.94,63.22,61.5,58.88,56.26,53.64,51.02,48.4,46.12,43.84,41.56,39.28,37.0,35.92,34.84,33.76,32.68,31.6
Kuwait,Kuwait,96.8,95.98,95.16,94.34,93.52,92.7,91.58,90.46,89.34,88.22,87.1,85.36,83.62,81.88,80.14,78.4,77.6,76.8,76.0,75.2,74.4,73.78,73.16,72.54,71.92,71.3,70.84,70.38,69.92,69.46,69.0,68.7,68.4,68.1,67.8,67.5,67.3,67.1,66.9,66.7,66.5,66.4,66.3,66.2,66.1,66.0,65.92,65.84,65.76,65.68,65.6,63.86,62.12,60.38,58.64,56.9
Kyrgyz Republic,Kyrgyzstan,59.5,57.16,54.82,52.48,50.14,47.8,46.08,44.36,42.64,40.92,39.2,38.4,37.6,36.8,36.0,35.2,34.5,33.8,33.1,32.4,31.7,30.98,30.26,29.54,28.82,28.1,27.34,26.58,25.82,25.06,24.3,23.7,23.1,22.5,21.9,21.3,20.88,20.46,20.04,19.62,19.2,19.06,18.92,18.78,18.64,18.5,18.94,19.38,19.82,20.26,20.7,19.4,18.1,16.8,15.5,14.2
Lao,Lao People's Democratic Republic,100.0,99.96,99.92,99.88,99.84,99.8,99.74,99.68,99.62,99.56,99.5,99.42,99.34,99.26,99.18,99.1,98.86,98.62,98.38,98.14,97.9,97.44,96.98,96.52,96.06,95.6,94.98,94.36,93.74,93.12,92.5,91.92,91.34,90.76,90.18,89.6,89.14,88.68,88.22,87.76,87.3,86.22,85.14,84.06,82.98,81.9,80.28,78.66,77.04,75.42,73.8,72.16,70.52,68.88,67.24,65.6
Latvia,Latvia,35.7,35.16,34.62,34.08,33.54,33.0,32.36,31.72,31.08,30.44,29.8,29.5,29.2,28.9,28.6,28.3,28.0,27.7,27.4,27.1,26.8,26.58,26.36,26.14,25.92,25.7,25.44,25.18,24.92,24.66,24.4,24.02,23.64,23.26,22.88,22.5,21.76,21.02,20.28,19.54,18.8,18.72,18.64,18.56,18.48,18.4,20.5,22.6,24.7,26.8,28.9,27.34,25.78,24.22,22.66,21.1
Lebanon,Lebanon,98.9,98.54,98.18,97.82,97.46,97.1,96.46,95.82,95.18,94.54,93.9,93.02,92.14,91.26,90.38,89.5,88.36,87.22,86.08,84.94,83.8,82.62,81.44,80.26,79.08,77.9,76.62,75.34,74.06,72.78,71.5,70.24,68.98,67.72,66.46,65.2,63.94,62.68,61.42,60.16,58.9,58.36,57.82,57.28,56.74,56.2,54.6,53.0,51.4,49.8,48.2,46.6,45.0,43.4,41.8,40.2
Lesotho,Lesotho,99.8,99.74,99.68,99.62,99.56,99.5,99.46,99.42,99.38,99.34,99.3,99.08,98.86,98.64,98.42,98.2,97.66,97.12,96.58,96.04,95.5,94.66,93.82,92.98,92.14,91.3,90.54,89.78,89.02,88.26,87.5,87.28,87.06,86.84,86.62,86.4,85.92,85.44,84.96,84.48,84.0,83.6,83.2,82.8,82.4,82.0,81.0,80.0,79.0,78.0,77.0,76.08,75.16,74.24,73.32,72.4
Liberia,Liberia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.7,99.6,99.5,99.4,99.3,99.16,99.02,98.88,98.74,98.6,98.32,98.04,97.76,97.48,97.2,96.86,96.52,96.18,95.84,95.5,95.06,94.62,94.18,93.74,93.3,92.86,92.42,91.98,91.54,91.1,91.02,90.94,90.86,90.78,90.7,89.38,88.06,86.74,85.42,84.1
Libya,Libyan Arab Jamahiriya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,17.72,26.58,35.44,44.3
Lithuania,Lithuania,49.4,46.48,43.56,40.64,37.72,34.8,33.14,31.48,29.82,28.16,26.5,26.16,25.82,25.48,25.14,24.8,24.6,24.4,24.2,24.0,23.8,23.62,23.44,23.26,23.08,22.9,22.68,22.46,22.24,22.02,21.8,21.38,20.96,20.54,20.12,19.7,18.94,18.18,17.42,16.66,15.9,15.76,15.62,15.48,15.34,15.2,17.1,19.0,20.9,22.8,24.7,23.34,21.98,20.62,19.26,17.9
Luxembourg,Luxembourg,79.9,78.54,77.18,75.82,74.46,73.1,71.88,70.66,69.44,68.22,67.0,65.76,64.52,63.28,62.04,60.8,59.44,58.08,56.72,55.36,54.0,52.8,51.6,50.4,49.2,48.0,46.86,45.72,44.58,43.44,42.3,41.16,40.02,38.88,37.74,36.6,35.56,34.52,33.48,32.44,31.4,30.62,29.84,29.06,28.28,27.5,27.16,26.82,26.48,26.14,25.8,24.52,23.24,21.96,20.68,19.4
Macao Special Administrative Region of China,Macao Special Administrative Region of China,99.3,98.96,98.62,98.28,97.94,97.6,96.68,95.76,94.84,93.92,93.0,91.46,89.92,88.38,86.84,85.3,83.36,81.42,79.48,77.54,75.6,73.36,71.12,68.88,66.64,64.4,62.3,60.2,58.1,56.0,53.9,51.42,48.94,46.46,43.98,41.5,40.54,39.58,38.62,37.66,36.7,35.92,35.14,34.36,33.58,32.8,31.98,31.16,30.34,29.52,28.7,27.06,25.42,23.78,22.14,20.5
Madagascar,Madagascar,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.82,99.74,99.66,99.58,99.5,99.3,99.1,98.9,98.7,98.5,98.04,97.58,97.12,96.66,96.2,96.04,95.88,95.72,95.56,95.4,95.44,95.48,95.52,95.56,95.6,95.56,95.52,95.48,95.44,95.4,95.2,95.0,94.8,94.6,94.4,93.8,93.2,92.6,92.0,91.4
Malawi,Malawi,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.94,99.88,99.82,99.76,99.7,99.66,99.62,99.58,99.54,99.5,99.4,99.3,99.2,99.1,99.0,98.88,98.76,98.64,98.52,98.4,98.2,98.0,97.8,97.6,97.4,97.06,96.72,96.38,96.04,95.7,95.12,94.54,93.96,93.38,92.8,92.08,91.36,90.64,89.92,89.2,88.22,87.24,86.26,85.28,84.3
Malaysia,Malaysia,98.7,98.24,97.78,97.32,96.86,96.4,95.48,94.56,93.64,92.72,91.8,90.18,88.56,86.94,85.32,83.7,81.64,79.58,77.52,75.46,73.4,70.9,68.4,65.9,63.4,60.9,58.76,56.62,54.48,52.34,50.2,48.3,46.4,44.5,42.6,40.7,38.62,36.54,34.46,32.38,30.3,29.42,28.54,27.66,26.78,25.9,25.02,24.14,23.26,22.38,21.5,20.62,19.74,18.86,17.98,17.1
Maldives,Maldives,99.9,99.94,99.98,100.02,100.06,100.1,100.06,100.02,99.98,99.94,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.7,99.6,99.5,99.4,99.3,98.92,98.54,98.16,97.78,97.4,97.12,96.84,96.56,96.28,96.0,95.08,94.16,93.24,92.32,91.4,90.4,89.4,88.4,87.4,86.4,85.4,84.4,83.4,82.4,81.4
