Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,10.5,11.1,11.7,12.3,12.9,13.5,14.12,14.74,15.36,15.98,16.6,17.6,18.6,19.6,20.6,21.6,22.24,22.88,23.52,24.16,24.8,25.54,26.28,27.02,27.76,28.5,29.12,29.74,30.36,30.98,31.6,32.66,33.72,34.78,35.84,36.9,38.18,39.46,40.74,42.02,43.3,44.62,45.94,47.26,48.58,49.9,50.42,50.94,51.46,51.98,52.5,53.02,53.54,54.06,54.58,55.1
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,8.16,12.24,16.32,20.4
Belarus,52.5,49.62,46.74,43.86,40.98,38.1,34.44,30.78,27.12,23.46,19.8,18.36,16.92,15.48,14.04,12.6,12.24,11.88,11.52,11.16,10.8,10.58,10.36,10.14,9.92,9.7,9.48,9.26,9.04,8.82,8.6,8.4,8.2,8.0,7.8,7.6,7.38,7.16,6.94,6.72,6.5,6.22,5.94,5.66,5.38,5.1,5.12,5.14,5.16,5.18,5.2,4.88,4.56,4.24,3.92,3.6
Belgium,71.4,70.52,69.64,68.76,67.88,67.0,66.14,65.28,64.42,63.56,62.7,61.9,61.1,60.3,59.5,58.7,57.82,56.94,56.06,55.18,54.3,53.5,52.7,51.9,51.1,50.3,49.76,49.22,48.68,48.14,47.6,47.28,46.96,46.64,46.32,46.0,45.54,45.08,44.62,44.16,43.7,43.08,42.46,41.84,41.22,40.6,39.74,38.88,38.02,37.16,36.3,34.3,32.3,30.3,28.3,26.3
Belize,55.4,55.66,55.92,56.18,56.44,56.7,56.8,56.9,57.0,57.1,57.2,57.26,57.32,57.38,57.44,57.5,56.98,56.46,55.94,55.42,54.9,54.28,53.66,53.04,52.42,51.8,51.42,51.04,50.66,50.28,49.9,49.38,48.86,48.34,47.82,47.3,46.66,46.02,45.38,44.74,44.1,43.22,42.34,41.46,40.58,39.7,39.0,38.3,37.6,36.9,36.2,35.98,35.76,35.54,35.32,35.1
Benin,5.2,5.46,5.72,5.98,6.24,6.5,6.82,7.14,7.46,7.78,8.1,8.3,8.5,8.7,8.9,9.1,9.42,9.74,10.06,10.38,10.7,11.56,12.42,13.28,14.14,15.0,15.0,15.0,15.0,15.0,15.0,14.56,14.12,13.68,13.24,12.8,13.18,13.56,13.94,14.32,14.7,16.02,17.34,18.66,19.98,21.3,23.36,25.42,27.48,29.54,31.6,35.04,38.48,41.92,45.36,48.8
Bhutan,0.7,0.74,0.78,0.82,0.86,0.9,0.98,1.06,1.14,1.22,1.3,1.54,1.78,2.02,2.26,2.5,2.78,3.06,3.34,3.62,3.9,4.32,4.74,5.16,5.58,6.0,6.68,7.36,8.04,8.72,9.4,9.74,10.08,10.42,10.76,11.1,12.3,13.5,14.7,15.9,17.1,18.2,19.3,20.4,21.5,22.6,26.02,29.44,32.86,36.28,39.7,39.76,39.82,39.88,39.94,40.0
Bolivia (Plurinational State of),29.3,29.86,30.42,30.98,31.54,32.1,32.9,33.7,34.5,35.3,36.1,37.08,38.06,39.04,40.02,41.0,41.88,42.76,43.64,44.52,45.4,46.04,46.68,47.32,47.96,48.6,49.0,49.4,49.8,50.2,50.6,50.9,51.2,51.5,51.8,52.1,52.52,52.94,53.36,53.78,54.2,54.34,54.48,54.62,54.76,54.9,54.4,53.9,53.4,52.9,52.4,51.02,49.64,48.26,46.88,45.5
Bosnia and Herzegovina,40.7,42.5,44.3,46.1,47.9,49.7,50.92,52.14,53.36,54.58,55.8,55.96,56.12,56.28,56.44,56.6,55.72,54.84,53.96,53.08,52.2,50.66,49.12,47.58,46.04,44.5,43.28,42.06,40.84,39.62,38.4,37.4,36.4,35.4,34.4,33.4,32.24,31.08,29.92,28.76,27.6,26.1,24.6,23.1,21.6,20.1,18.16,16.22,14.28,12.34,10.4,10.16,9.92,9.68,9.44,9.2
Botswana,10.8,12.3,13.8,15.3,16.8,18.3,20.4,22.5,24.6,26.7,28.8,30.6,32.4,34.2,36.0,37.8,39.52,41.24,42.96,44.68,46.4,48.2,50.0,51.8,53.6,55.4,56.72,58.04,59.36,60.68,62.0,62.52,63.04,63.56,64.08,64.6,63.96,63.32,62.68,62.04,61.4,59.58,57.76,55.94,54.12,52.3,51.36,50.42,49.48,48.54,47.6,46.2,44.8,43.4,42.0,40.6
