Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,77.5,76.94,76.38,75.82,75.26,74.7,74.3,73.9,73.5,73.1,72.7,71.98,71.26,70.54,69.82,69.1,68.44,67.78,67.12,66.46,65.8,65.12,64.44,63.76,63.08,62.4,61.82,61.24,60.66,60.08,59.5,58.32,57.14,55.96,54.78,53.6,52.0,50.4,48.8,47.2,45.6,43.74,41.88,40.02,38.16,36.3,34.64,32.98,31.32,29.66,28.0,26.78,25.56,24.34,23.12,21.9
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.56,0.84,1.12,1.4
Belarus,2.8,2.42,2.04,1.66,1.28,0.9,0.78,0.66,0.54,0.42,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.26,0.24,0.22,0.2
Belgium,8.4,7.96,7.52,7.08,6.64,6.2,5.86,5.52,5.18,4.84,4.5,4.26,4.02,3.78,3.54,3.3,3.16,3.02,2.88,2.74,2.6,2.48,2.36,2.24,2.12,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0,0.92,0.84,0.76,0.68,0.6,0.52,0.44,0.36,0.28,0.2,0.16,0.12,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Belize,43.8,42.84,41.88,40.92,39.96,39.0,38.18,37.36,36.54,35.72,34.9,34.4,33.9,33.4,32.9,32.4,32.1,31.8,31.5,31.2,30.9,30.68,30.46,30.24,30.02,29.8,29.2,28.6,28.0,27.4,26.8,26.38,25.96,25.54,25.12,24.7,24.28,23.86,23.44,23.02,22.6,22.08,21.56,21.04,20.52,20.0,19.12,18.24,17.36,16.48,15.6,15.1,14.6,14.1,13.6,13.1
Benin,90.7,90.12,89.54,88.96,88.38,87.8,87.4,87.0,86.6,86.2,85.8,85.22,84.64,84.06,83.48,82.9,82.26,81.62,80.98,80.34,79.7,78.64,77.58,76.52,75.46,74.4,74.3,74.2,74.1,74.0,73.9,74.3,74.7,75.1,75.5,75.9,75.2,74.5,73.8,73.1,72.4,70.62,68.84,67.06,65.28,63.5,60.92,58.34,55.76,53.18,50.6,48.1,45.6,43.1,40.6,38.1
Bhutan,98.0,97.9,97.8,97.7,97.6,97.5,97.04,96.58,96.12,95.66,95.2,94.5,93.8,93.1,92.4,91.7,91.24,90.78,90.32,89.86,89.4,88.72,88.04,87.36,86.68,86.0,85.0,84.0,83.0,82.0,81.0,80.42,79.84,79.26,78.68,78.1,76.48,74.86,73.24,71.62,70.0,67.78,65.56,63.34,61.12,58.9,55.22,51.54,47.86,44.18,40.5,39.9,39.3,38.7,38.1,37.5
Bolivia (Plurinational State of),61.4,60.36,59.32,58.28,57.24,56.2,55.02,53.84,52.66,51.48,50.3,48.92,47.54,46.16,44.78,43.4,42.06,40.72,39.38,38.04,36.7,35.58,34.46,33.34,32.22,31.1,30.12,29.14,28.16,27.18,26.2,25.14,24.08,23.02,21.96,20.9,19.58,18.26,16.94,15.62,14.3,13.18,12.06,10.94,9.82,8.7,8.02,7.34,6.66,5.98,5.3,4.66,4.02,3.38,2.74,2.1
Bosnia and Herzegovina,34.7,32.46,30.22,27.98,25.74,23.5,21.54,19.58,17.62,15.66,13.7,12.38,11.06,9.74,8.42,7.1,6.46,5.82,5.18,4.54,3.9,3.58,3.26,2.94,2.62,2.3,2.1,1.9,1.7,1.5,1.3,1.22,1.14,1.06,0.98,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.7,0.7,0.7,0.7,0.7,0.72,0.74,0.76,0.78,0.8
Botswana,86.4,84.76,83.12,81.48,79.84,78.2,76.06,73.92,71.78,69.64,67.5,65.46,63.42,61.38,59.34,57.3,55.22,53.14,51.06,48.98,46.9,44.4,41.9,39.4,36.9,34.4,32.06,29.72,27.38,25.04,22.7,21.14,19.58,18.02,16.46,14.9,14.06,13.22,12.38,11.54,10.7,10.26,9.82,9.38,8.94,8.5,8.3,8.1,7.9,7.7,7.5,7.04,6.58,6.12,5.66,5.2
