Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,89.4,88.8,88.2,87.6,87.0,86.4,85.78,85.16,84.54,83.92,83.3,82.28,81.26,80.24,79.22,78.2,77.52,76.84,76.16,75.48,74.8,73.94,73.08,72.22,71.36,70.5,69.68,68.86,68.04,67.22,66.4,64.98,63.56,62.14,60.72,59.3,57.36,55.42,53.48,51.54,49.6,47.24,44.88,42.52,40.16,37.8,35.62,33.44,31.26,29.08,26.9,25.04,23.18,21.32,19.46,17.6
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.44,0.66,0.88,1.1
Belarus,3.8,3.26,2.72,2.18,1.64,1.1,0.96,0.82,0.68,0.54,0.4,0.36,0.32,0.28,0.24,0.2,0.18,0.16,0.14,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.26,0.22,0.18,0.14,0.1
Belgium,8.0,7.56,7.12,6.68,6.24,5.8,5.5,5.2,4.9,4.6,4.3,4.06,3.82,3.58,3.34,3.1,2.98,2.86,2.74,2.62,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0,0.92,0.84,0.76,0.68,0.6,0.52,0.44,0.36,0.28,0.2,0.16,0.12,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Belize,42.0,41.38,40.76,40.14,39.52,38.9,38.28,37.66,37.04,36.42,35.8,35.2,34.6,34.0,33.4,32.8,32.52,32.24,31.96,31.68,31.4,31.2,31.0,30.8,30.6,30.4,29.84,29.28,28.72,28.16,27.6,27.24,26.88,26.52,26.16,25.8,25.3,24.8,24.3,23.8,23.3,22.62,21.94,21.26,20.58,19.9,18.92,17.94,16.96,15.98,15.0,14.46,13.92,13.38,12.84,12.3
Benin,94.8,94.52,94.24,93.96,93.68,93.4,93.06,92.72,92.38,92.04,91.7,91.46,91.22,90.98,90.74,90.5,90.1,89.7,89.3,88.9,88.5,87.52,86.54,85.56,84.58,83.6,83.6,83.6,83.6,83.6,83.6,84.04,84.48,84.92,85.36,85.8,85.4,85.0,84.6,84.2,83.8,82.24,80.68,79.12,77.56,76.0,73.12,70.24,67.36,64.48,61.6,57.72,53.84,49.96,46.08,42.2
Bhutan,99.3,99.28,99.26,99.24,99.22,99.2,99.1,99.0,98.9,98.8,98.7,98.46,98.22,97.98,97.74,97.5,97.22,96.94,96.66,96.38,96.1,95.64,95.18,94.72,94.26,93.8,93.02,92.24,91.46,90.68,89.9,89.28,88.66,88.04,87.42,86.8,84.86,82.92,80.98,79.04,77.1,74.36,71.62,68.88,66.14,63.4,59.52,55.64,51.76,47.88,44.0,43.5,43.0,42.5,42.0,41.5
Bolivia (Plurinational State of),67.9,67.2,66.5,65.8,65.1,64.4,63.34,62.28,61.22,60.16,59.1,57.76,56.42,55.08,53.74,52.4,50.98,49.56,48.14,46.72,45.3,43.94,42.58,41.22,39.86,38.5,37.26,36.02,34.78,33.54,32.3,31.0,29.7,28.4,27.1,25.8,24.16,22.52,20.88,19.24,17.6,16.18,14.76,13.34,11.92,10.5,9.64,8.78,7.92,7.06,6.2,5.4,4.6,3.8,3.0,2.2
Bosnia and Herzegovina,53.0,50.08,47.16,44.24,41.32,38.4,35.4,32.4,29.4,26.4,23.4,21.18,18.96,16.74,14.52,12.3,11.18,10.06,8.94,7.82,6.7,6.1,5.5,4.9,4.3,3.7,3.34,2.98,2.62,2.26,1.9,1.72,1.54,1.36,1.18,1.0,0.96,0.92,0.88,0.84,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.76,0.74,0.72,0.7,0.7,0.7,0.7,0.7,0.7
Botswana,89.0,87.4,85.8,84.2,82.6,81.0,78.66,76.32,73.98,71.64,69.3,67.02,64.74,62.46,60.18,57.9,55.4,52.9,50.4,47.9,45.4,42.64,39.88,37.12,34.36,31.6,29.12,26.64,24.16,21.68,19.2,17.76,16.32,14.88,13.44,12.0,11.22,10.44,9.66,8.88,8.1,7.76,7.42,7.08,6.74,6.4,6.26,6.12,5.98,5.84,5.7,5.34,4.98,4.62,4.26,3.9
