Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,88.6,88.26,87.92,87.58,87.24,86.9,86.6,86.3,86.0,85.7,85.4,84.92,84.44,83.96,83.48,83.0,82.52,82.04,81.56,81.08,80.6,80.14,79.68,79.22,78.76,78.3,77.88,77.46,77.04,76.62,76.2,75.36,74.52,73.68,72.84,72.0,70.86,69.72,68.58,67.44,66.3,65.08,63.86,62.64,61.42,60.2,58.82,57.44,56.06,54.68,53.3,51.72,50.14,48.56,46.98,45.4
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,6.96,10.44,13.92,17.4
Belarus,34.4,31.04,27.68,24.32,20.96,17.6,15.34,13.08,10.82,8.56,6.3,5.38,4.46,3.54,2.62,1.7,1.48,1.26,1.04,0.82,0.6,0.58,0.56,0.54,0.52,0.5,0.52,0.54,0.56,0.58,0.6,0.6,0.6,0.6,0.6,0.6,0.62,0.64,0.66,0.68,0.7,0.68,0.66,0.64,0.62,0.6,0.64,0.68,0.72,0.76,0.8,0.76,0.72,0.68,0.64,0.6
Belgium,37.9,36.06,34.22,32.38,30.54,28.7,27.2,25.7,24.2,22.7,21.2,20.2,19.2,18.2,17.2,16.2,15.56,14.92,14.28,13.64,13.0,12.34,11.68,11.02,10.36,9.7,9.24,8.78,8.32,7.86,7.4,7.18,6.96,6.74,6.52,6.3,6.14,5.98,5.82,5.66,5.5,5.4,5.3,5.2,5.1,5.0,5.0,5.0,5.0,5.0,5.0,4.64,4.28,3.92,3.56,3.2
Belize,82.8,81.9,81.0,80.1,79.2,78.3,77.26,76.22,75.18,74.14,73.1,73.06,73.02,72.98,72.94,72.9,72.3,71.7,71.1,70.5,69.9,69.2,68.5,67.8,67.1,66.4,65.34,64.28,63.22,62.16,61.1,60.08,59.06,58.04,57.02,56.0,55.3,54.6,53.9,53.2,52.5,51.48,50.46,49.44,48.42,47.4,46.16,44.92,43.68,42.44,41.2,40.32,39.44,38.56,37.68,36.8
Benin,96.6,96.28,95.96,95.64,95.32,95.0,94.72,94.44,94.16,93.88,93.6,93.1,92.6,92.1,91.6,91.1,90.62,90.14,89.66,89.18,88.7,88.3,87.9,87.5,87.1,86.7,87.14,87.58,88.02,88.46,88.9,89.06,89.22,89.38,89.54,89.7,88.82,87.94,87.06,86.18,85.3,83.72,82.14,80.56,78.98,77.4,76.52,75.64,74.76,73.88,73.0,72.74,72.48,72.22,71.96,71.7
Bhutan,98.2,98.1,98.0,97.9,97.8,97.7,97.24,96.78,96.32,95.86,95.4,94.72,94.04,93.36,92.68,92.0,91.54,91.08,90.62,90.16,89.7,89.06,88.42,87.78,87.14,86.5,85.52,84.54,83.56,82.58,81.6,81.14,80.68,80.22,79.76,79.3,77.78,76.26,74.74,73.22,71.7,69.54,67.38,65.22,63.06,60.9,60.0,59.1,58.2,57.3,56.4,55.48,54.56,53.64,52.72,51.8
Bolivia,75.0,74.22,73.44,72.66,71.88,71.1,70.04,68.98,67.92,66.86,65.8,64.58,63.36,62.14,60.92,59.7,58.68,57.66,56.64,55.62,54.6,53.82,53.04,52.26,51.48,50.7,49.74,48.78,47.82,46.86,45.9,44.42,42.94,41.46,39.98,38.5,36.74,34.98,33.22,31.46,29.7,28.26,26.82,25.38,23.94,22.5,21.64,20.78,19.92,19.06,18.2,17.52,16.84,16.16,15.48,14.8
Bosnia and Herzegovina,60.4,58.76,57.12,55.48,53.84,52.2,49.94,47.68,45.42,43.16,40.9,38.44,35.98,33.52,31.06,28.6,26.72,24.84,22.96,21.08,19.2,17.74,16.28,14.82,13.36,11.9,10.74,9.58,8.42,7.26,6.1,5.52,4.94,4.36,3.78,3.2,3.08,2.96,2.84,2.72,2.6,2.56,2.52,2.48,2.44,2.4,2.3,2.2,2.1,2.0,1.9,1.84,1.78,1.72,1.66,1.6
Botswana,93.6,92.84,92.08,91.32,90.56,89.8,88.96,88.12,87.28,86.44,85.6,84.42,83.24,82.06,80.88,79.7,78.32,76.94,75.56,74.18,72.8,71.14,69.48,67.82,66.16,64.5,62.88,61.26,59.64,58.02,56.4,55.0,53.6,52.2,50.8,49.4,46.52,43.64,40.76,37.88,35.0,31.86,28.72,25.58,22.44,19.3,19.68,20.06,20.44,20.82,21.2,20.32,19.44,18.56,17.68,16.8
