Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.54,,,,,0.6799999999999999,,,,,0.8400000000000001,,,,,1.15,,,,,1.64,,,,,2.04,,,,,2.74,,,,,3.54,,,,,3.8,,,,,3.83,,,,,3.88,,,,,4.29
Albania,4.63,,,,,7.210000000000001,,,,,10.22,,,,,12.89,,,,,15.21,,,,,17.6,,,,,19.58,,,,,20.42,,,,,20.700000000000003,,,,,20.87,,,,,20.939999999999998,,,,,20.740000000000002
Algeria,0.64,,,,,1.15,,,,,1.93,,,,,3.2399999999999998,,,,,5.29,,,,,7.7,,,,,9.81,,,,,11.84,,,,,14.280000000000001,,,,,16.72,,,,,18.53,,,,,19.54
Angola,0.73,,,,,0.89,,,,,1.0899999999999999,,,,,1.35,,,,,1.6,,,,,1.9300000000000002,,,,,2.42,,,,,3.1,,,,,3.95,,,,,4.8100000000000005,,,,,5.27,,,,,5.24
Antigua and Barbuda,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,22.009999999999998
Argentina,11.96,,,,,12.77,,,,,13.55,,,,,14.34,,,,,15.23,,,,,16.14,,,,,17.12,,,,,18.08,,,,,18.93,,,,,19.7,,,,,20.34,,,,,20.88
Armenia,8.85,,,,,12.66,,,,,16.25,,,,,18.84,,,,,20.57,,,,,21.67,,,,,21.96,,,,,21.87,,,,,21.85,,,,,22.0,,,,,22.18,,,,,22.03
Aruba,7.18,,,,,8.26,,,,,9.32,,,,,10.68,,,,,12.45,,,,,13.96,,,,,15.31,,,,,16.57,,,,,17.85,,,,,19.01,,,,,19.62,,,,,19.72
Australia,18.07,,,,,19.11,,,,,20.27,,,,,21.439999999999998,,,,,22.560000000000002,,,,,23.61,,,,,24.51,,,,,25.130000000000003,,,,,25.509999999999998,,,,,25.880000000000003,,,,,26.8,,,,,28.189999999999998
Austria,15.97,,,,,16.560000000000002,,,,,17.1,,,,,17.78,,,,,19.0,,,,,20.560000000000002,,,,,21.73,,,,,22.47,,,,,23.16,,,,,23.73,,,,,24.11,,,,,24.97
Azerbaijan,9.4,,,,,11.78,,,,,14.17,,,,,15.99,,,,,17.52,,,,,19.17,,,,,20.34,,,,,20.84,,,,,20.91,,,,,20.82,,,,,20.89,,,,,21.85
Bahamas,14.88,,,,,14.93,,,,,15.59,,,,,16.93,,,,,18.770000000000003,,,,,20.880000000000003,,,,,22.98,,,,,24.55,,,,,25.509999999999998,,,,,26.119999999999997,,,,,26.47,,,,,26.08
Bahrain,1.08,,,,,2.24,,,,,2.6100000000000003,,,,,3.95,,,,,5.99,,,,,8.19,,,,,10.4,,,,,12.58,,,,,14.67,,,,,16.48,,,,,17.85,,,,,18.61
Bangladesh,3.3,,,,,3.4699999999999998,,,,,3.81,,,,,4.22,,,,,4.710000000000001,,,,,5.23,,,,,5.880000000000001,,,,,6.62,,,,,7.3100000000000005,,,,,8.0,,,,,8.95,,,,,10.33
Barbados,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,21.14
Belarus,13.43,,,,,14.29,,,,,14.71,,,,,16.07,,,,,18.119999999999997,,,,,19.95,,,,,21.21,,,,,21.69,,,,,21.82,,,,,22.13,,,,,23.259999999999998,,,,,24.03
Belgium,15.280000000000001,,,,,15.78,,,,,16.4,,,,,17.34,,,,,18.69,,,,,20.0,,,,,20.990000000000002,,,,,21.770000000000003,,,,,22.55,,,,,23.4,,,,,24.12,,,,,24.85
Belize,7.960000000000001,,,,,8.68,,,,,9.49,,,,,10.44,,,,,11.48,,,,,12.61,,,,,13.34,,,,,13.79,,,,,14.39,,,,,15.19,,,,,16.1,,,,,16.939999999999998
Benin,0.6599999999999999,,,,,0.85,,,,,1.2,,,,,1.73,,,,,2.38,,,,,2.99,,,,,3.65,,,,,4.48,,,,,5.38,,,,,5.890000000000001,,,,,5.83,,,,,6.29
Bhutan,0.32,,,,,0.42,,,,,0.56,,,,,0.76,,,,,1.02,,,,,1.5499999999999998,,,,,2.52,,,,,3.29,,,,,3.98,,,,,5.35,,,,,6.49,,,,,7.83
Bolivia (Plurinational State of),7.640000000000001,,,,,7.74,,,,,8.18,,,,,9.01,,,,,10.07,,,,,11.32,,,,,12.690000000000001,,,,,13.969999999999999,,,,,15.02,,,,,16.05,,,,,17.3,,,,,19.01
Bosnia and Herzegovina,4.5,,,,,6.16,,,,,7.82,,,,,9.92,,,,,12.25,,,,,14.5,,,,,16.84,,,,,18.82,,,,,20.39,,,,,21.64,,,,,22.36,,,,,22.909999999999997
Botswana,2.97,,,,,3.37,,,,,3.73,,,,,4.44,,,,,5.73,,,,,7.43,,,,,9.190000000000001,,,,,11.059999999999999,,,,,13.36,,,,,15.920000000000002,,,,,17.97,,,,,19.39
Brazil,5.16,,,,,5.779999999999999,,,,,6.31,,,,,6.93,,,,,7.800000000000001,,,,,9.05,,,,,10.55,,,,,11.940000000000001,,,,,13.01,,,,,13.74,,,,,14.469999999999999,,,,,13.89
