Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.32,0.33,0.34,0.35,0.37,0.38,0.4,0.41,0.43,0.45,0.48,0.5,0.52,0.55,0.57,0.6,0.62,0.65,0.68,0.71,0.75,0.78,0.81,0.88,0.95,1.01,1.08,1.15,1.25,1.36,1.46,1.57,1.67,1.76,1.85,1.94,2.03,2.12,2.27,2.41,2.56,2.7,2.85,3.02,3.19,3.36,3.53,3.7
Albania,0.34,0.42,0.5,0.58,0.66,0.74,0.89,1.04,1.2,1.35,1.5,1.76,2.01,2.27,2.52,2.78,3.15,3.52,3.88,4.25,4.62,5.13,5.65,6.16,6.68,7.19,7.79,8.4,9.0,9.61,10.21,10.74,11.26,11.79,12.31,12.84,13.33,13.82,14.32,14.81,15.3,15.78,16.27,16.75,17.24,17.72,18.1,18.49,18.87,19.26,19.64,19.8,19.97,20.13,20.3,20.46
Algeria,0.08,0.09,0.1,0.11,0.12,0.13,0.15,0.16,0.18,0.19,0.21,0.24,0.27,0.3,0.33,0.36,0.42,0.47,0.53,0.58,0.64,0.74,0.84,0.95,1.05,1.15,1.31,1.47,1.63,1.79,1.95,2.22,2.49,2.75,3.02,3.29,3.72,4.15,4.59,5.02,5.45,5.94,6.43,6.92,7.41,7.9,8.32,8.74,9.16,9.58,10.0,10.41,10.82,11.22,11.63,12.04
Angola,0.31,0.32,0.34,0.35,0.37,0.38,0.4,0.42,0.43,0.45,0.47,0.49,0.51,0.54,0.56,0.58,0.61,0.63,0.66,0.68,0.71,0.74,0.77,0.81,0.84,0.87,0.91,0.95,0.99,1.03,1.07,1.12,1.17,1.23,1.28,1.33,1.38,1.43,1.48,1.53,1.58,1.65,1.71,1.78,1.84,1.91,2.01,2.11,2.2,2.3,2.4,2.54,2.68,2.81,2.95,3.09
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,7.29,10.94,14.58,18.23
Argentina,9.78,9.89,10.0,10.11,10.22,10.33,10.42,10.51,10.6,10.69,10.78,10.88,10.98,11.08,11.18,11.28,11.42,11.56,11.7,11.84,11.98,12.14,12.3,12.47,12.63,12.79,12.95,13.11,13.27,13.43,13.59,13.75,13.91,14.08,14.24,14.4,14.58,14.76,14.94,15.12,15.3,15.49,15.68,15.87,16.06,16.25,16.45,16.65,16.86,17.06,17.26,17.48,17.7,17.92,18.14,18.36
Armenia,0.79,0.96,1.13,1.31,1.48,1.65,1.96,2.27,2.57,2.88,3.19,3.67,4.15,4.63,5.11,5.59,6.24,6.9,7.55,8.21,8.86,9.62,10.39,11.15,11.92,12.68,13.4,14.12,14.84,15.56,16.28,16.8,17.31,17.83,18.34,18.86,19.2,19.55,19.89,20.24,20.58,20.8,21.02,21.25,21.47,21.69,21.75,21.81,21.87,21.93,21.99,21.93,21.87,21.8,21.74,21.68
Aruba,4.24,4.36,4.48,4.59,4.71,4.83,4.97,5.1,5.24,5.37,5.51,5.67,5.83,5.99,6.15,6.31,6.48,6.66,6.83,7.01,7.18,7.41,7.63,7.86,8.08,8.31,8.53,8.76,8.98,9.21,9.43,9.7,9.97,10.23,10.5,10.77,11.12,11.48,11.83,12.19,12.54,12.85,13.17,13.48,13.8,14.11,14.38,14.66,14.93,15.21,15.48,15.69,15.9,16.11,16.32,16.53
Australia,15.02,15.14,15.26,15.38,15.5,15.62,15.75,15.88,16.02,16.15,16.28,16.44,16.61,16.77,16.94,17.1,17.29,17.48,17.68,17.87,18.06,18.27,18.48,18.7,18.91,19.12,19.35,19.59,19.82,20.06,20.29,20.52,20.76,20.99,21.23,21.46,21.69,21.91,22.14,22.36,22.59,22.8,23.01,23.21,23.42,23.63,23.81,23.99,24.18,24.36,24.54,24.72,24.91,25.09,25.28,25.46
Austria,13.99,14.11,14.22,14.34,14.45,14.57,14.66,14.75,14.83,14.92,15.01,15.08,15.16,15.23,15.31,15.38,15.49,15.6,15.7,15.81,15.92,16.04,16.16,16.27,16.39,16.51,16.62,16.73,16.84,16.95,17.06,17.2,17.33,17.47,17.6,17.74,17.99,18.24,18.48,18.73,18.98,19.29,19.61,19.92,20.24,20.55,20.79,21.02,21.26,21.49,21.73,21.95,22.17,22.38,22.6,22.82
